problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-KP,50,D&L-TS,70009,0.36805920843916745,2,11.718990613007918,1680
Bi-KP,50,WS-heuristic,70009,0.9283452624856984,8,0.03181227302411571,1362
Bi-KP,50,NSGA-II,70009,0.8247325406945448,9,0.476217582996469,2400
Bi-KP,50,BO,70009,0.4719195872110754,3,1.751625515986234,396
Bi-KP,50,D&L,70010,0.4531290564381959,3,11.813142724044155,1680
Bi-KP,50,D&L-TS,70010,0.2935005576174196,6,11.67100593901705,1680
Bi-KP,50,WS-heuristic,70010,0.9304824761869938,6,0.029119986982550472,1462
Bi-KP,50,NSGA-II,70010,0.8455747115929576,7,0.41374934202758595,2400
Bi-KP,50,BO,70010,0.41949101413240214,3,1.8158036230015568,396
Bi-KP,50,D&L,70011,0.5162026832301406,4,11.853404903027695,1680
Bi-KP,50,D&L-TS,70011,0.38739546390667257,4,12.337731297011487,1680
Bi-KP,50,WS-heuristic,70011,0.899285108006922,6,0.03292082896223292,1512
Bi-KP,50,NSGA-II,70011,0.829205624387259,8,0.44601401704130694,2400
Bi-KP,50,BO,70011,0.4467252485508057,4,1.5597340560052544,396
Bi-KP,50,D&L,70012,0.5107812635035865,2,13.364409575995523,1680
Bi-KP,50,D&L-TS,70012,0.2701932633307406,3,12.148198830022011,1680
Bi-KP,50,WS-heuristic,70012,0.9511872353297036,8,0.027122622006572783,1312
Bi-KP,50,NSGA-II,70012,0.7876479993086164,3,0.46892745804507285,2400
Bi-KP,50,BO,70012,0.4220248898107337,2,1.634530059993267,396
Bi-KP,50,D&L,70013,0.4974332182040908,2,12.361569552973378,1680
Bi-KP,50,D&L-TS,70013,0.48708406812180044,3,14.323707212985028,1680
Bi-KP,50,WS-heuristic,70013,0.9462910493403398,8,0.03735775902168825,1362
Bi-KP,50,NSGA-II,70013,0.8453065962458476,7,0.7154667939757928,2400
Bi-KP,50,BO,70013,0.5365189125190124,4,2.439014161005616,396
Bi-KP,50,D&L,70014,0.49746134748372384,6,15.229841404012404,1680
Bi-KP,50,D&L-TS,70014,0.4858322944304148,4,13.164312735956628,1680
Bi-KP,50,WS-heuristic,70014,0.8651610565909067,6,0.030996576009783894,1362
Bi-KP,50,NSGA-II,70014,0.8089976984304574,9,0.5146159310243092,2400
Bi-KP,50,BO,70014,0.47368245799102815,3,3.5236141250352375,396
Bi-KP,100,D&L,120000,0.1937556414666962,4,30.380772449017968,1680
Bi-KP,100,D&L-TS,120000,0.11410806637487156,4,30.51428017701255,1680
Bi-KP,100,WS-heuristic,120000,0.9387197158498485,7,0.06673021300230175,2712
Bi-KP,100,NSGA-II,120000,0.6823700499382159,4,0.567469457979314,2400
Bi-KP,100,BO,120000,0.10484849172963348,3,4.132972905004863,396
Bi-KP,100,D&L,120001,0.3325118628501454,5,27.376492993964348,1680
Bi-KP,100,D&L-TS,120001,0.20089050161622893,4,29.12496258196188,1680
Bi-KP,100,WS-heuristic,120001,0.8474725601246162,7,0.09730832499917597,2912
Bi-KP,100,NSGA-II,120001,0.6406762950090491,4,0.7209303110139444,2400
Bi-KP,100,BO,120001,0.2436080172157643,3,2.9292064790497534,396
Bi-KP,100,D&L,120002,0.2737032863201627,4,22.985674550000113,1680
Bi-KP,100,D&L-TS,120002,0.14164124434093778,2,28.59495901595801,1680
Bi-KP,100,WS-heuristic,120002,0.9079339164587112,7,0.07829600997501984,3112
Bi-KP,100,NSGA-II,120002,0.6441814761405283,5,0.5348410969600081,2400
Bi-KP,100,BO,120002,0.14851039926931758,3,2.372489375004079,396
Bi-KP,100,D&L,120003,0.33740291135799755,3,26.857242528989445,1680
Bi-KP,100,D&L-TS,120003,0.22543264568838714,3,31.776229954033624,1680
Bi-KP,100,WS-heuristic,120003,0.8920477438035807,8,0.07856702397111803,3012
