variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A2,dicut,14,5,0.1,13,0,4,0.8592191579165187,0.9813812663784323,0.8744450766900408,0.8858813827391584,37,10063,0.34254002571105957
A2,dicut,14,5,0.1,13,1,4,0.8992176059427825,0.9904985700262222,0.8989179642743216,,37,10213,0.32962584495544434
A2,dicut,14,5,0.1,14,0,4,0.9138073309176109,0.9672083675935652,0.9191634567270122,0.9191634567270122,37,9734,0.31320714950561523
A2,dicut,14,5,0.1,14,1,4,0.9324013121177684,0.9850149102422204,0.9324013121177684,,37,11274,0.3081083297729492
A2,dicut,14,5,0.1,15,0,4,0.8447396218873139,0.9599143466903528,0.8447396218873139,0.8447396218873139,37,10039,0.2885880470275879
A2,dicut,14,5,0.1,15,1,4,0.8565736704447775,0.9919688904801324,0.8565736704447775,,37,12143,0.31553030014038086
A2,covcost,14,3,0.1,0,0,4,0.8902538541837038,0.9568250594083912,0.8920438710549854,0.900125571529129,37,4166,0.06874465942382812
A2,covcost,14,3,0.1,0,1,4,0.8902538541837038,0.9921269250345888,0.8876939108276476,,37,6238,0.08532071113586426
A2,covcost,14,3,0.1,1,0,4,0.5697020647896741,0.9547160269687246,0.5895939095700126,0.5964139544867794,37,4488,0.06778192520141602
A2,covcost,14,3,0.1,1,1,4,0.5697020647896741,0.9709253487750852,0.5895939095700126,,37,7119,0.09093928337097168
A2,covcost,14,3,0.1,2,0,4,0.8105027888221732,0.9314970564949806,0.7527090001446212,0.7527090001446212,36,4382,0.07206892967224121
A2,covcost,14,3,0.1,2,1,4,0.8105027888221732,0.9775017920005694,0.7527090001446212,,36,7465,0.1105501651763916
A2,covcost,14,3,0.1,3,0,4,0.8199051234922202,0.977274265130421,0.8786265648270202,0.9146596044039685,36,6475,0.09899330139160156
A2,covcost,14,3,0.1,3,1,4,0.8199051234922202,0.9938164880703803,0.8942859252170476,,36,15390,0.1999495029449463
A2,covcost,14,3,0.1,4,0,4,0.8206773438492762,0.9579134693084405,0.8553687451678527,0.9074662709465868,37,4911,0.10453581809997559
A2,covcost,14,3,0.1,4,1,4,0.9152866575494152,0.9909625509592017,0.8978692750529235,,37,7198,0.0915672779083252
A2,covcost,14,3,0.1,5,0,4,0.8088051130867822,0.9560308151272014,0.8088051130867822,0.8088051130867822,37,4052,0.07003402709960938
