variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,15,3,0.1,15,1,0.651841053059747,0.7489818157868985,48,831,0.04007577896118164
A1,maxcut,15,3,0.1,16,0,0.6470678377107743,0.9105942451596872,48,274,0.03103351593017578
A1,maxcut,15,3,0.1,16,1,0.5836513732052865,0.9313268169641004,48,895,0.032442569732666016
A1,maxcut,15,3,0.1,17,0,0.5100067738015095,0.6731205874160157,48,700,0.03278398513793945
A1,maxcut,15,3,0.1,17,1,0.5100067738015095,0.6453847586713842,48,1355,0.0332489013671875
A1,maxcut,15,3,0.1,18,0,0.70909176657938,0.8893232068354701,48,377,0.034234046936035156
A1,maxcut,15,3,0.1,18,1,0.7531516473888308,0.8495262852377236,48,2437,0.0401458740234375
A1,maxcut,15,3,0.1,19,0,0.4518658230985834,0.9218430126572387,48,321,0.036453962326049805
A1,maxcut,15,3,0.1,19,1,0.41347895681878055,0.9430282752142166,48,1004,0.04281330108642578
A1,maxcut,15,3,0.1,20,0,0.4875830507323363,0.8008196430167444,48,259,0.03632783889770508
A1,maxcut,15,3,0.1,20,1,0.4875830507323363,0.6874507348277542,48,563,0.03690791130065918
A1,maxcut,15,3,0.1,21,0,0.4758389222263874,0.648599182321625,48,256,0.037034034729003906
A1,maxcut,15,3,0.1,21,1,0.4758389222263874,0.6025317035689731,48,624,0.03692030906677246
A1,maxcut,15,3,0.1,22,0,0.6397640050441162,0.7402410363187384,48,218,0.0341954231262207
A1,maxcut,15,3,0.1,22,1,0.6365151973906146,0.704007701236892,48,805,0.03631925582885742
A1,maxcut,15,3,0.1,23,0,0.7526348537911107,0.8070453748780851,48,178,0.03850507736206055
A1,maxcut,15,3,0.1,23,1,0.737503935452401,0.7723103808846169,48,2539,0.04638361930847168
A1,maxcut,15,3,0.1,24,0,0.40999326591361857,0.6385687178770397,48,477,0.041239261627197266
A1,maxcut,15,3,0.1,24,1,0.40999326591361857,0.6220710749257757,48,1182,0.04271054267883301
A1,maxcut,15,5,0.1,0,0,0.48038681790538074,0.6783160194794252,48,1286,0.41134166717529297
A1,maxcut,15,5,0.1,0,1,0.48038681790538074,0.6111586434296729,48,2476,0.3955373764038086
A1,maxcut,15,5,0.1,1,0,0.654949918633583,0.8858426941239131,48,1598,0.35974574089050293
A1,maxcut,15,5,0.1,1,1,0.654949918633583,0.8768628595848692,48,4947,0.3790464401245117
A1,maxcut,15,5,0.1,2,0,0.47181058245925894,0.7147300077363502,48,973,0.35874056816101074
A1,maxcut,15,5,0.1,2,1,0.47181058245925894,0.6863473924461214,48,1572,0.3536229133605957
A1,maxcut,15,5,0.1,3,0,0.5836967014188988,0.6436176905842723,48,997,0.3873004913330078
A1,maxcut,15,5,0.1,3,1,0.5717053141041978,0.6158854300478702,48,2857,0.38126444816589355
A1,maxcut,15,5,0.1,4,0,0.6870791788653348,0.8243281544002383,48,1199,0.5032665729522705
A1,maxcut,15,5,0.1,4,1,0.7278759646141655,0.8404949980031161,48,4211,0.453045129776001
A1,maxcut,15,5,0.1,5,0,0.315178603819024,0.7737033756655727,48,1728,0.4471256732940674
A1,maxcut,15,5,0.1,5,1,0.315178603819024,0.7560658209184159,48,7032,0.41304993629455566
A1,maxcut,15,5,0.1,6,0,0.4347798195920901,0.6223798742863403,48,863,0.38973069190979004
A1,maxcut,15,5,0.1,6,1,0.4347798195920901,0.5595098108804079,48,2242,0.4030623435974121
A1,maxcut,15,5,0.1,7,0,0.6696431983564594,0.8441633516264421,48,1423,0.426302433013916
A1,maxcut,15,5,0.1,7,1,0.6696431983564594,0.8784548306532983,48,4912,0.42909669876098633
A1,maxcut,15,5,0.1,8,0,0.41722224164814936,0.8592604961057985,48,2110,0.3723587989807129
A1,maxcut,15,5,0.1,8,1,0.41722224164814936,0.8803180963341283,48,5641,0.38086676597595215
A1,maxcut,15,5,0.1,9,0,0.5109895024132567,0.8038642627235021,48,1079,0.4248085021972656
A1,maxcut,15,5,0.1,9,1,0.5109895024132567,0.7986263150186539,48,5489,0.42795443534851074
A1,maxcut,15,5,0.1,10,0,0.6255793477678895,0.7838648692729784,48,598,0.3977811336517334
A1,maxcut,15,5,0.1,10,1,0.6255793477678895,0.7852138557349182,48,2538,0.39037370681762695
A1,maxcut,15,5,0.1,11,0,0.3708817553612571,0.8057332674095422,48,2450,0.42444276809692383
A1,maxcut,15,5,0.1,11,1,0.3708817553612571,0.7669850543999855,48,11593,0.4545102119445801
