special_case,seed,shape,t,max_abs_diff,pass
unscion_cnn_bias,1,"(32,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,2,"(32,)",0.01,0.0,True
unscion_cnn_bias,2,"(32,)",0.1,1.1102230246251565e-16,True
unscion_cnn_bias,2,"(32,)",1.0,2.220446049250313e-16,True
unscion_cnn_bias,2,"(32,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,3,"(32,)",0.01,0.0,True
unscion_cnn_bias,3,"(32,)",0.1,2.7755575615628914e-17,True
unscion_cnn_bias,3,"(32,)",1.0,2.220446049250313e-16,True
unscion_cnn_bias,3,"(32,)",3.7,1.7763568394002505e-15,True
unscion_cnn_bias,4,"(32,)",0.01,1.734723475976807e-18,True
unscion_cnn_bias,4,"(32,)",0.1,0.0,True
unscion_cnn_bias,4,"(32,)",1.0,4.440892098500626e-16,True
unscion_cnn_bias,4,"(32,)",3.7,8.881784197001252e-16,True
unscion_cnn_conv,0,"(8, 36)",0.01,0.0,True
unscion_cnn_conv,0,"(8, 36)",0.1,1.3877787807814457e-17,True
unscion_cnn_conv,0,"(8, 36)",1.0,0.0,True
unscion_cnn_conv,0,"(8, 36)",3.7,0.0,True
unscion_cnn_conv,1,"(8, 36)",0.01,0.0,True
unscion_cnn_conv,1,"(8, 36)",0.1,1.1102230246251565e-16,True
unscion_cnn_conv,1,"(8, 36)",1.0,0.0,True
unscion_cnn_conv,1,"(8, 36)",3.7,0.0,True
unscion_cnn_conv,2,"(8, 36)",0.01,0.0,True
unscion_cnn_conv,2,"(8, 36)",0.1,3.469446951953614e-18,True
unscion_cnn_conv,2,"(8, 36)",1.0,0.0,True
unscion_cnn_conv,2,"(8, 36)",3.7,0.0,True
unscion_cnn_conv,3,"(8, 36)",0.01,0.0,True
unscion_cnn_conv,3,"(8, 36)",0.1,1.734723475976807e-18,True
unscion_cnn_conv,3,"(8, 36)",1.0,0.0,True
unscion_cnn_conv,3,"(8, 36)",3.7,0.0,True
unscion_cnn_conv,4,"(8, 36)",0.01,0.0,True
unscion_cnn_conv,4,"(8, 36)",0.1,2.7755575615628914e-17,True
unscion_cnn_conv,4,"(8, 36)",1.0,0.0,True
unscion_cnn_conv,4,"(8, 36)",3.7,0.0,True
unscion_cnn_conv,0,"(16, 72)",0.01,3.469446951953614e-18,True
unscion_cnn_conv,0,"(16, 72)",0.1,1.1102230246251565e-16,True
unscion_cnn_conv,0,"(16, 72)",1.0,0.0,True
unscion_cnn_conv,0,"(16, 72)",3.7,0.0,True
unscion_cnn_conv,1,"(16, 72)",0.01,0.0,True
unscion_cnn_conv,1,"(16, 72)",0.1,2.220446049250313e-16,True
unscion_cnn_conv,1,"(16, 72)",1.0,0.0,True
unscion_cnn_conv,1,"(16, 72)",3.7,0.0,True
unscion_cnn_conv,2,"(16, 72)",0.01,2.7755575615628914e-17,True
unscion_cnn_conv,2,"(16, 72)",0.1,5.551115123125783e-17,True
unscion_cnn_conv,2,"(16, 72)",1.0,0.0,True
unscion_cnn_conv,2,"(16, 72)",3.7,0.0,True
unscion_cnn_conv,3,"(16, 72)",0.01,0.0,True
unscion_cnn_conv,3,"(16, 72)",0.1,2.220446049250313e-16,True
unscion_cnn_conv,3,"(16, 72)",1.0,0.0,True
unscion_cnn_conv,3,"(16, 72)",3.7,0.0,True
unscion_cnn_conv,4,"(16, 72)",0.01,1.734723475976807e-18,True
unscion_cnn_conv,4,"(16, 72)",0.1,1.1102230246251565e-16,True
unscion_cnn_conv,4,"(16, 72)",1.0,0.0,True
unscion_cnn_conv,4,"(16, 72)",3.7,0.0,True
unscion_cnn_conv,0,"(6, 75)",0.01,0.0,True
unscion_cnn_conv,0,"(6, 75)",0.1,5.551115123125783e-17,True
unscion_cnn_conv,0,"(6, 75)",1.0,1.1102230246251565e-16,True
unscion_cnn_conv,0,"(6, 75)",3.7,2.220446049250313e-16,True
unscion_cnn_conv,1,"(6, 75)",0.01,0.0,True
unscion_cnn_conv,1,"(6, 75)",0.1,0.0,True
unscion_cnn_conv,1,"(6, 75)",1.0,5.551115123125783e-17,True
unscion_cnn_conv,1,"(6, 75)",3.7,2.220446049250313e-16,True
unscion_cnn_conv,2,"(6, 75)",0.01,0.0,True
unscion_cnn_conv,2,"(6, 75)",0.1,5.551115123125783e-17,True
unscion_cnn_conv,2,"(6, 75)",1.0,2.220446049250313e-16,True
unscion_cnn_conv,2,"(6, 75)",3.7,2.220446049250313e-16,True
unscion_cnn_conv,3,"(6, 75)",0.01,0.0,True
unscion_cnn_conv,3,"(6, 75)",0.1,0.0,True
unscion_cnn_conv,3,"(6, 75)",1.0,2.220446049250313e-16,True
unscion_cnn_conv,3,"(6, 75)",3.7,1.1102230246251565e-16,True
unscion_cnn_conv,4,"(6, 75)",0.01,0.0,True
unscion_cnn_conv,4,"(6, 75)",0.1,0.0,True
unscion_cnn_conv,4,"(6, 75)",1.0,1.1102230246251565e-16,True
unscion_cnn_conv,4,"(6, 75)",3.7,2.220446049250313e-16,True
unscion_cnn_head,0,"(12, 20)",0.01,0.0,True
unscion_cnn_head,0,"(12, 20)",0.1,0.0,True
unscion_cnn_head,0,"(12, 20)",1.0,0.0,True
unscion_cnn_head,0,"(12, 20)",3.7,0.0,True
unscion_cnn_head,1,"(12, 20)",0.01,0.0,True
unscion_cnn_head,1,"(12, 20)",0.1,0.0,True
unscion_cnn_head,1,"(12, 20)",1.0,0.0,True
unscion_cnn_head,1,"(12, 20)",3.7,0.0,True
unscion_cnn_head,2,"(12, 20)",0.01,0.0,True
unscion_cnn_head,2,"(12, 20)",0.1,0.0,True
unscion_cnn_head,2,"(12, 20)",1.0,0.0,True
unscion_cnn_head,2,"(12, 20)",3.7,0.0,True
unscion_cnn_head,3,"(12, 20)",0.01,0.0,True
unscion_cnn_head,3,"(12, 20)",0.1,0.0,True
unscion_cnn_head,3,"(12, 20)",1.0,0.0,True
unscion_cnn_head,3,"(12, 20)",3.7,0.0,True
unscion_cnn_head,4,"(12, 20)",0.01,0.0,True
unscion_cnn_head,4,"(12, 20)",0.1,0.0,True
unscion_cnn_head,4,"(12, 20)",1.0,0.0,True
unscion_cnn_head,4,"(12, 20)",3.7,0.0,True
unscion_cnn_head,0,"(16, 16)",0.01,0.0,True
unscion_cnn_head,0,"(16, 16)",0.1,0.0,True
unscion_cnn_head,0,"(16, 16)",1.0,0.0,True
